Rep	Popsize	MigRate	GensDrift	Fst	Chi2Pval	PropTestsDropped
0	100.0	0.001	1.0	0.00528756821368892	3.01048280484985e-88	0.00048192771084337347
0	100.0	0.001	10.0	0.052415278594522545	0.0	0.016867469879518072
0	100.0	0.01	1.0	0.004514729609920625	6.73223076044313e-61	0.0019277108433734939
0	100.0	0.01	10.0	0.038106721386255996	0.0	0.012048192771084338
0	500.0	0.001	1.0	0.0009728465655394059	1.364514304644354e-92	0.0
0	500.0	0.001	10.0	0.010466822674489446	0.0	0.0009638554216867469
0	500.0	0.01	1.0	0.0010154621013806807	4.837627152588776e-111	0.0
0	500.0	0.01	10.0	0.008732938911843001	0.0	0.0009638554216867469
1	100.0	0.001	1.0	0.005461825042741726	3.5041295430964347e-87	0.0014457831325301205
1	100.0	0.001	10.0	0.05443516441337194	0.0	0.011566265060240964
1	100.0	0.01	1.0	0.004555692051734887	4.420453722220163e-66	0.0009638554216867469
1	100.0	0.01	10.0	0.03888682100787643	0.0	0.01783132530120482
1	500.0	0.001	1.0	0.0010673075491185679	1.0394131696046266e-106	0.0
1	500.0	0.001	10.0	0.010464376550779194	0.0	0.0009638554216867469
1	500.0	0.01	1.0	0.0009654528857605797	1.007609070937419e-98	0.0
1	500.0	0.01	10.0	0.008423209278253217	0.0	0.0014457831325301205
2	100.0	0.001	1.0	0.004915308836129716	7.052245526706482e-74	0.0014457831325301205
2	100.0	0.001	10.0	0.04534334131368829	0.0	0.012048192771084338
2	100.0	0.01	1.0	0.005005342371489463	6.127794374149112e-74	0.00048192771084337347
2	100.0	0.01	10.0	0.03842724960834007	0.0	0.01108433734939759
2	500.0	0.001	1.0	0.0010129536162706346	1.306743371389105e-106	0.0
2	500.0	0.001	10.0	0.009525273246842342	0.0	0.0
2	500.0	0.01	1.0	0.0009644412871892414	1.9508273937883242e-92	0.0
2	500.0	0.01	10.0	0.0072962138238264395	0.0	0.0014457831325301205
3	100.0	0.001	1.0	0.004685146943492024	3.573892355705324e-72	0.002891566265060241
3	100.0	0.001	10.0	0.04241601988041679	0.0	0.010120481927710843
3	100.0	0.01	1.0	0.005895942442633845	1.4778082936943666e-106	0.0009638554216867469
3	100.0	0.01	10.0	0.043423680553866174	0.0	0.016867469879518072
3	500.0	0.001	1.0	0.0010015422731196176	3.972351257081388e-109	0.0
3	500.0	0.001	10.0	0.009261057938284904	0.0	0.0009638554216867469
3	500.0	0.01	1.0	0.0009472735070085233	7.504102149430877e-99	0.0
3	500.0	0.01	10.0	0.00845885318302515	0.0	0.00048192771084337347
4	100.0	0.001	1.0	0.005210536500864791	5.70737119005205e-78	0.0
4	100.0	0.001	10.0	0.048329823831893326	0.0	0.01108433734939759
4	100.0	0.01	1.0	0.0046759409652206395	4.348504416507684e-61	0.0019277108433734939
4	100.0	0.01	10.0	0.04617115726694355	0.0	0.015421686746987951
4	500.0	0.001	1.0	0.0010541830809209381	2.1240575779121568e-126	0.0
4	500.0	0.001	10.0	0.00834684835944733	0.0	0.0009638554216867469
4	500.0	0.01	1.0	0.0010388168969516314	2.2016853959326695e-115	0.0
4	500.0	0.01	10.0	0.0072689407131787155	0.0	0.0009638554216867469
5	100.0	0.001	1.0	0.00557751436375186	4.652439686147447e-87	0.0009638554216867469
5	100.0	0.001	10.0	0.046456494456276295	0.0	0.013012048192771084
